university_name,top_bucket,is_c9,is_985,is_211,recommended_csc_priority,selection_note
Beijing Jiaotong University,211_only,No,No,Yes,Medium,Strong for transport logistics systems and information engineering
Beijing Sport University,211_only,No,No,Yes,Low,Relevant mainly for sports science and related areas
Beijing University of Chemical Technology,211_only,No,No,Yes,Medium,Strong chemical engineering and materials profile
Beijing University of Chinese Medicine,211_only,No,No,Yes,Low,Relevant for traditional medicine and related fields
Beijing University of Posts and Telecommunications,211_only,No,No,Yes,High,Very strong for telecom computer science cybersecurity and AI
Beijing University of Technology,211_only,No,No,Yes,Medium,Practical engineering target in Beijing with good lab options
Central Conservatory of Music,211_only,No,No,Yes,Low,Specialized option mainly for music and performance disciplines
Central University of Finance and Economics,211_only,No,No,Yes,Medium,Strong economics finance and public policy option
Chang'an University,211_only,No,No,Yes,Medium,Strong in transport civil engineering and road infrastructure
China Pharmaceutical University,211_only,No,No,Yes,Medium,Strong for pharmacy pharmaceutical sciences and medicinal chemistry
China University of Geosciences,211_only,No,No,Yes,Medium,Good fit for geology earth science environment and resources research
China University of Mining and Technology,211_only,No,No,Yes,Medium,Good for mining safety geotechnics and energy studies
China University of Petroleum,211_only,No,No,Yes,Medium,Strong if your work relates to petroleum energy or chemical engineering
China University of Political Science and Law,211_only,No,No,Yes,Medium,Top law-focused option in China
Communication University of China,211_only,No,No,Yes,Low,Best for media journalism communication and cultural studies
Dalian Maritime University,211_only,No,No,Yes,Low,Specialized maritime shipping and logistics option
Donghua University,211_only,No,No,Yes,Low,Strongest in textiles materials design and selected engineering areas
East China University of Science and Technology,211_only,No,No,Yes,High,Strong chemistry chemical engineering materials and biotech option
Fourth Military Medical University,211_only,No,No,Yes,Low,Verify international student access before prioritizing
Fuzhou University,211_only,No,No,Yes,Medium,Useful practical target especially for engineering and materials
Guangxi University,211_only,No,No,Yes,Medium,Balanced regional target with lower competition than many 985 schools
Guizhou University,211_only,No,No,Yes,Medium,Useful reach-balance option in western China
Hainan University,211_only,No,No,Yes,Medium,Can be attractive for tropical agriculture environment and marine topics
Harbin Engineering University,211_only,No,No,Yes,Medium,Strong for naval engineering controls automation and materials
Hebei University of Technology,211_only,No,No,Yes,Medium,Practical engineering target with relatively moderate competition
Hefei University of Technology,211_only,No,No,Yes,Medium,Strong engineering choice and useful backup to USTC
Hohai University,211_only,No,No,Yes,Medium,Excellent for hydrology water resources civil and environmental engineering
Huazhong Agricultural University,211_only,No,No,Yes,Medium,Strong agriculture bioscience and food related research
Huazhong Normal University,211_only,No,No,Yes,Medium,Useful for education humanities social sciences and selected sciences
Hunan Normal University,211_only,No,No,Yes,Low,Good mainly for education humanities and selected sciences
Inner Mongolia University,211_only,No,No,Yes,Low,Regional option best considered for specific supervisor fit
Jiangnan University,211_only,No,No,Yes,Medium,Strong for food science biotech design and light industry
Jinan University,211_only,No,No,Yes,Medium,Popular among international students and strong in business medicine and humanities
Liaoning University,211_only,No,No,Yes,Low,Better as a field-fit option than as a prestige-first target
Nanchang University,211_only,No,No,Yes,Medium,Reasonable balance target with broad program coverage
Nanjing Agricultural University,211_only,No,No,Yes,Medium,Strong agriculture life science and food systems option
Nanjing Normal University,211_only,No,No,Yes,Medium,Useful for education humanities public policy and selected sciences
Nanjing University of Aeronautics and Astronautics,211_only,No,No,Yes,High,Strong for aerospace mechanical control and computer engineering
Nanjing University of Science and Technology,211_only,No,No,Yes,High,Strong applied engineering electronics controls and materials option
Ningxia University,211_only,No,No,Yes,Low,Use mainly if there is strong supervisor match
North China Electric Power University,211_only,No,No,Yes,Medium,Strong for energy power systems and electrical engineering
Northeast Agricultural University,211_only,No,No,Yes,Low,Useful for agricultural specialization
Northeast Forestry University,211_only,No,No,Yes,Low,Useful for forestry ecology and environmental studies
Northeast Normal University,211_only,No,No,Yes,Low,Best for education and selected basic sciences
Northwest University,211_only,No,No,Yes,Medium,Useful for earth science archaeology humanities and chemistry
Qinghai University,211_only,No,No,Yes,Low,Use mainly for field fit or regional research goals
Shaanxi Normal University,211_only,No,No,Yes,Low,Good for education humanities and teacher training related fields
Shanghai International Studies University,211_only,No,No,Yes,Low,Best for languages translation and international studies
Shanghai University,211_only,No,No,Yes,Medium,Broad urban university and useful balanced target in Shanghai
Shanghai University of Finance and Economics,211_only,No,No,Yes,Medium,Strong finance economics and quantitative business option
Shihezi University,211_only,No,No,Yes,Low,Regional target useful mainly for specific program fit
Soochow University,211_only,No,No,Yes,Medium,Good broad option with useful science and materials programs
South China Normal University,211_only,No,No,Yes,Low,Best for education psychology and selected sciences
Southwest Jiaotong University,211_only,No,No,Yes,High,Strong for transportation rail civil and mechanical engineering
Southwest University,211_only,No,No,Yes,Medium,Good broad university with education agriculture and psychology strengths
Southwestern University of Finance and Economics,211_only,No,No,Yes,Medium,Strong finance economics and management specialization
Taiyuan University of Technology,211_only,No,No,Yes,Low,Mostly useful for engineering-specific fit
Tianjin Medical University,211_only,No,No,Yes,Medium,Useful medicine and public health target
Tibet University,211_only,No,No,Yes,Low,Regional option for highly specific goals
University of International Business and Economics,211_only,No,No,Yes,Medium,Strong business trade economics and policy option
University of Science and Technology Beijing,211_only,No,No,Yes,Medium,Strong metallurgy materials mechanical and industrial engineering
Wuhan University of Technology,211_only,No,No,Yes,Medium,Strong materials transport engineering and manufacturing option
Xidian University,211_only,No,No,Yes,High,Excellent for electronics communication signal processing and cybersecurity
Xinjiang University,211_only,No,No,Yes,Low,Regional option for specific field or supervisor match
Yanbian University,211_only,No,No,Yes,Low,Regional and language-related fit option
Yunnan University,211_only,No,No,Yes,Medium,Useful for biodiversity ecology ethnology and regional studies
Zhengzhou University,211_only,No,No,Yes,Medium,Very practical large-university target with broad capacity
Zhongnan University of Economics and Law,211_only,No,No,Yes,Medium,Good specialized option for economics law and management

